date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:13	166/166	---M--	200	added ('OK')	image/png	etag:%225df1dea4-a6%22	https://www.jurassicsystems.com/img/buttonOverlay.png	D:/Downloads/JurassicSystem/www.jurassicsystems.com/img/buttonOverlay.png	(from https://www.jurassicsystems.com/css/jurassicSystems.css)
19:30:14	1745/1745	---MCZ	200	added ('OK')	text/css	etag:W/%225df1dea4-910%22	https://www.jurassicsystems.com/css/about.css	D:/Downloads/JurassicSystem/www.jurassicsystems.com/css/about.css	(from https://www.jurassicsystems.com/about)
19:30:14	6789/6789	---M--	200	added ('OK')	image/png	etag:%228570ea584a539b4d6777257149aa9766%22	https://s3.amazonaws.com/github/ribbons/forkme_left_gray_6d6d6d.png	D:/Downloads/JurassicSystem/s3.amazonaws.com/github/ribbons/forkme_left_gray_6d6d6d.png	(from https://www.jurassicsystems.com/about)
19:30:14	23950/23950	---M--	200	added ('OK')	image/jpeg	etag:%225df1dea4-5d8e%22	https://www.jurassicsystems.com/img/jurassicSystems.jpg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/img/jurassicSystems.jpg	(from https://www.jurassicsystems.com/about)
19:30:15	32690/32690	---M--	200	added ('OK')	image/jpeg	etag:%225df1dea4-7fb2%22	https://www.jurassicsystems.com/img/exampleInput.jpg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/img/exampleInput.jpg	(from https://www.jurassicsystems.com/about)
19:30:15	4471/4471	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Dec%202019%2006:45:22%20GMT	https://www.jurassicsystems.com/system	D:/Downloads/JurassicSystem/www.jurassicsystems.com/system.html	(from https://www.jurassicsystems.com/about)
19:30:15	1914/1914	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Dec%202019%2006:31:00%20GMT	https://www.jurassicsystems.com/theking	D:/Downloads/JurassicSystem/www.jurassicsystems.com/theking.html	(from https://www.jurassicsystems.com/about)
19:30:15	1807/1807	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:30:15%20GMT	https://www.jurassicsystems.com/error	D:/Downloads/JurassicSystem/www.jurassicsystems.com/error	(from https://www.jurassicsystems.com/about)
19:30:16	3097/3097	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fc41607778816b4c946c9ea15f4091f5%22	http://connect.facebook.net/en_US/all.js	D:/Downloads/JurassicSystem/connect.facebook.net/en_US/all.js	(from https://www.jurassicsystems.com/about)
19:30:16	95821/95821	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-1764d%22	https://code.jquery.com/jquery.min.js	D:/Downloads/JurassicSystem/code.jquery.com/jquery.min.js	(from https://www.jurassicsystems.com/about)
19:30:17	1873/1873	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:30:17%20GMT	https://www.jurassicsystems.com/js/lib/jquery-1.10.2.min.js	D:/Downloads/JurassicSystem/www.jurassicsystems.com/js/lib/jquery-1.10.2.min.js	(from https://www.jurassicsystems.com/about)
19:30:17	435844/435844	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd700-6a684%22	https://code.jquery.com/ui/1.10.3/jquery-ui.js	D:/Downloads/JurassicSystem/code.jquery.com/ui/1.10.3/jquery-ui.js	(from https://www.jurassicsystems.com/about)
19:30:17	59470/59470	---M--	200	added ('OK')	audio/ogg	etag:%225df1dea4-e84e%22	https://www.jurassicsystems.com/snd/beep.ogg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/beep.ogg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:17	15810/15810	---M--	200	added ('OK')	audio/mpeg	etag:%225df1dea4-3dc2%22	https://www.jurassicsystems.com/snd/beep.mp3	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/beep.mp3	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:18	110392/110392	---M--	200	added ('OK')	application/octet-stream	etag:%225df1dea4-1af38%22	https://www.jurassicsystems.com/snd/beep.wav	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/beep.wav	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:18	438654/438654	---M--	200	added ('OK')	audio/ogg	etag:%225df1dea4-6b17e%22	https://www.jurassicsystems.com/snd/lockDown.ogg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/lockDown.ogg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:18	154363/154363	---M--	200	added ('OK')	audio/mpeg	etag:%225df1dea4-25afb%22	https://www.jurassicsystems.com/snd/lockDown.mp3	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/lockDown.mp3	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:19	1126448/1126448	---M--	200	added ('OK')	application/octet-stream	etag:%225df1dea4-113030%22	https://www.jurassicsystems.com/snd/lockDown.wav	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/lockDown.wav	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:19	2391432/2391432	---M--	200	added ('OK')	audio/ogg	etag:%225df1dea4-247d88%22	https://www.jurassicsystems.com/snd/dennisMusic.ogg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/dennisMusic.ogg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:20	1184268/1184268	---M--	200	added ('OK')	audio/mpeg	etag:%225df1dea4-12120c%22	https://www.jurassicsystems.com/snd/dennisMusic.mp3	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/dennisMusic.mp3	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:20	182375/182375	---M--	200	added ('OK')	image/jpeg	etag:%225df1dea4-2c867%22	https://www.jurassicsystems.com/img/asciiNewman.jpg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/img/asciiNewman.jpg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:20	1807/1807	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:30:20%20GMT	https://www.jurassicsystems.com/theKingFocus.jpg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/theKingFocus.jpg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:20	1807/1807	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:30:20%20GMT	https://www.jurassicsystems.com/macHDBlur.jpg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/macHDBlur.jpg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:21	1807/1807	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:30:21%20GMT	https://www.jurassicsystems.com/asciiNewman.jpg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/asciiNewman.jpg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:21	1807/1807	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:30:21%20GMT	https://www.jurassicsystems.com/zebraGirlWindow.jpg	D:/Downloads/JurassicSystem/www.jurassicsystems.com/zebraGirlWindow.jpg	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:21	4734668/4734668	---M--	200	added ('OK')	application/octet-stream	etag:%225df1dea4-483ecc%22	https://www.jurassicsystems.com/snd/dennisMusic.wav	D:/Downloads/JurassicSystem/www.jurassicsystems.com/snd/dennisMusic.wav	(from https://www.jurassicsystems.com/js/jurassicSystems.js)
19:30:21	1117/1117	---MCZ	200	added ('OK')	text/css	etag:W/%225df1dea4-5d1%22	https://www.jurassicsystems.com/css/theKing.css	D:/Downloads/JurassicSystem/www.jurassicsystems.com/css/theKing.css	(from https://www.jurassicsystems.com/theking)
19:30:21	1807/1807	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2014%20Jun%202022%2000:30:21%20GMT	https://www.jurassicsystems.com/swf/theKing.swf	D:/Downloads/JurassicSystem/www.jurassicsystems.com/swf/theKing.swf	(from https://www.jurassicsystems.com/theking)
19:30:41	1247/1247	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225df1dea4-752%22	https://www.jurassicsystems.com/js/theKing.js	D:/Downloads/JurassicSystem/www.jurassicsystems.com/js/theKing.js	(from https://www.jurassicsystems.com/theking)
